2026-02-10T20:30:14.663+0700	INFO	utils/email.go:28	SMTP Host not configured, skipping email send	{"to": "dandimuzaki@gmail.com", "subject": "Welcome to Lumoshive", "body_snippet": "Hello Dandi,\n\nYour account has been created succes"}
2026-02-10T20:34:34.564+0700	ERROR	repository/user.go:62	ERROR: duplicate key value violates unique constraint "idx_users_email" (SQLSTATE 23505)
2026-02-10T20:36:02.391+0700	INFO	repository/product.go:128	Get product by id	{"id": 1}
2026-02-10T20:36:27.258+0700	ERROR	usecase/product.go:130	Failed to browse product	{"error": "ERROR: column \"price\" does not exist (SQLSTATE 42703)"}
2026-02-10T20:38:47.288+0700	ERROR	usecase/product.go:130	Failed to browse product	{"error": "ERROR: column \"rating\" does not exist (SQLSTATE 42703)"}
2026-02-10T20:50:25.944+0700	INFO	repository/product.go:40	Creating product	{"name": "", "category_id": 0}
2026-02-10T20:50:26.107+0700	ERROR	repository/product.go:47	Failed to create product	{"name": "", "error": "ERROR: insert or update on table \"products\" violates foreign key constraint \"fk_categories_products\" (SQLSTATE 23503)"}
2026-02-10T20:50:26.108+0700	ERROR	usecase/product.go:170	Failed to create product	{"error": "ERROR: insert or update on table \"products\" violates foreign key constraint \"fk_categories_products\" (SQLSTATE 23503)"}
2026-02-10T20:50:26.109+0700	ERROR	usecase/product.go:212	Transaction create product failed	{"error": "ERROR: insert or update on table \"products\" violates foreign key constraint \"fk_categories_products\" (SQLSTATE 23503)"}
2026-02-10T20:56:29.452+0700	INFO	repository/product.go:40	Creating product	{"name": "", "category_id": 0}
2026-02-10T20:56:29.474+0700	ERROR	repository/product.go:47	Failed to create product	{"name": "", "error": "ERROR: insert or update on table \"products\" violates foreign key constraint \"fk_categories_products\" (SQLSTATE 23503)"}
2026-02-10T20:56:29.474+0700	ERROR	usecase/product.go:170	Failed to create product	{"error": "ERROR: insert or update on table \"products\" violates foreign key constraint \"fk_categories_products\" (SQLSTATE 23503)"}
